label,mfcc_mean,spectral_centroid_mean,spectral_bandwidth_mean,chroma_stft_mean,zero_crossing_rate_mean
cel,"[-501.39926    142.08958    -24.880325    34.141106    17.978477
    5.720815    -5.698264    -0.7004188   -7.092958     2.6972587
   -1.0029323    1.2087135   -1.1172696]",1184.848700428092,1475.2746810066285,0.27086762,0.06629732572115385
cel,"[-4.4679788e+02  1.2665075e+02 -2.6129934e+01  2.6274673e+01
  1.3105849e+01  3.1261911e+00  1.4311981e-01  8.8641682e+00
  3.0870240e+00  2.4403298e+00 -8.2642412e+00 -4.9820251e+00
 -1.4137113e+01]",1296.5234975576482,1576.41335871369,0.2368608,0.0689227764423077
cel,"[-400.8372     115.45177    -31.504057    20.905096    10.660571
    1.763292    -8.335674    -2.0766785   -5.4056706    5.017485
   -1.4808925    6.807167     2.9051096]",1441.6649755284025,1627.2171175114474,0.19791092,0.081689453125
cel,"[-3.1108597e+02  1.2590978e+02 -2.0341791e+01  3.1492462e+01
  6.5428786e+00  4.1347494e+00 -8.6060925e+00  6.2835574e-02
 -5.1121907e+00 -2.4607468e+00 -5.8670750e+00  7.7182829e-01
  2.9259109e+00]",1615.407734603419,1879.9683150394224,0.29296464,0.08168194110576923
cel,"[-305.2327     116.129875   -23.54582     19.311094     3.0852005
    2.510531    -7.585392     1.3881034   -1.3380711   -0.5482235
   -9.611471    -2.103961     3.8075614]",1758.0061231136194,1952.7324998635386,0.23413557,0.08985501802884616
cel,"[-290.56995    103.21053    -28.60421     17.878883     3.431499
    0.9647022   -8.432396     1.7936975   -1.3556622    1.755424
   -5.0492754   -0.3832915    1.8033638]",1931.5207753317266,2027.3814524768386,0.247719,0.10641150841346154
cel,"[-301.98312    134.23573    -31.480448    70.22073      1.3762859
   13.781097    -7.341662    -3.1645885   -7.559637     1.1508378
   -1.5895998   -3.5643294   -1.9577845]",1467.84650629849,1609.6907708452434,0.18715116,0.07246844951923077
cel,"[-307.7713     146.15634    -28.898672    52.376293    -3.5865066
    8.997547   -16.427544    -8.795327   -15.278537    -1.3425722
   -3.9164608   -8.366784   -10.027245 ]",1263.8230550869396,1505.067056557406,0.23637614,0.055551382211538464
cel,"[-2.87968170e+02  1.32871918e+02 -4.76822472e+01  5.60767632e+01
 -2.89678168e+00  5.51170635e+00 -1.38096609e+01 -1.14443731e+01
 -1.29797535e+01 -1.12029910e-01 -2.68053818e+00 -9.55890179e+00
 -2.63489056e+00]",1439.2499281154273,1470.3525602575378,0.20283806,0.06464092548076923
cel,"[-270.19507     111.9038      -20.917643     25.67175       6.515472
    0.68306404  -10.928852     -3.0047529    -4.7459955    -0.4184838
   -5.693623     -0.5793916     2.2702248 ]",1637.4565147869391,1929.276735361742,0.20923816,0.07158578725961538
